speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
99111360,-0.0026795370952,MACK,CONNIE,H,FL,M,R,13,voting,99
99111380,0.00142431272285714,MEYERS,JAN,H,KS,F,R,3,voting,99
99111400,-0.0340895232161417,MINETA,NORMAN,H,CA,M,D,13,voting,99
99111410,0.00923012762109861,MONTGOMERY,GILLESPIE,H,MS,M,D,3,voting,99
99111420,-0.0528611268592593,MOORHEAD,CARLOS,H,CA,M,R,22,voting,99
99111431,-0.0324310674976511,MOYNIHAN,DANIEL,S,NY,M,D,,voting,99
99111440,-0.00273907810657143,MYERS,JOHN,H,IN,M,R,7,voting,99
99111480,-0.0154241385213393,QUILLEN,JAMES,H,TN,M,R,1,voting,99
99111510,-0.0135512184355556,ROSE,CHARLES,H,NC,M,D,7,voting,99
99111520,0.0114297666595506,ROTH,TOBY,H,WI,M,R,8,voting,99
99111531,-0.0718136656464634,ROTH,WILLIAM,S,DE,M,R,,voting,99
99111540,-0.00386724390186567,SCHROEDER,PATRICIA,H,CO,F,D,1,voting,99
99111560,-0.0504013547916667,STUDDS,GERRY,H,MA,M,D,10,voting,99
99111610,-0.0262504121703968,VOLKMER,HAROLD,H,MO,M,D,9,voting,99
99111620,-0.0348944905380952,VUCANOVICH,BARBARA,H,NV,F,R,2,voting,99
99111640,0.00434529107465783,WALKER,ROBERT,H,PA,M,R,16,voting,99
99111660,-0.0058393733702439,WILLIAMS,JOHN,H,MT,M,D,1,voting,99
99111670,0.0268815690333333,WILSON,CHARLES,H,TX,M,D,2,voting,99
99111700,0.0129539165756886,DE LA GARZA,ELIGIO,H,TX,M,D,15,voting,99
99111770,0.0410776595212718,DELLUMS,RONALD,H,CA,M,D,8,voting,99
99111780,-0.0625246196,FAWELL,HARRIS,H,IL,M,R,13,voting,99
99111790,-0.0212818955474042,FAZIO,VICTOR,H,CA,M,D,4,voting,99
99111810,-0.0191116777433333,FOGLIETTA,THOMAS,H,PA,M,D,1,voting,99
99111840,0.0308693510051511,GINGRICH,NEWTON,H,GA,M,R,6,voting,99
99111850,-0.0121312579636105,GONZALEZ,HENRY,H,TX,M,D,20,voting,99
99111861,-0.0397209393878218,GRAMM,PHIL,S,TX,M,R,,voting,99
99111870,-0.00937532159897959,HAMILTON,LEE,H,IN,M,D,9,voting,99
99111880,-0.0102712073647059,HEFNER,WILLIE,H,NC,M,D,8,voting,99
99111891,-0.0117771319736529,HELMS,JESSE,S,NC,M,R,,voting,99
99111930,-0.020023388715625,KENNELLY,BARBARA,H,CT,F,D,1,voting,99
99111960,-0.0365103305240298,MANTON,THOMAS,H,NY,M,D,9,voting,99
99111970,-0.0262803397930556,MCDADE,JOSEPH,H,PA,M,R,10,voting,99
99112060,-0.0171481407074222,RICHARDSON,WILLIAM,H,NM,M,D,3,voting,99
99112090,-0.0433446337894737,SCHAEFER,DANIEL,H,CO,M,R,6,voting,99
99112120,0.0175100730706897,SMITH,ROBERT,H,NH,M,R,1,voting,99
99112160,0.0075503469875,SOLOMON,GERALD,H,NY,M,R,24,voting,99
99112170,0.0112912182348387,STOKES,LOUIS,H,OH,M,D,21,voting,99
99112201,-0.0364027471359439,THURMOND,J.,S,SC,M,R,,voting,99
99112210,-0.00849974758695652,TORRES,ESTEBAN,H,CA,M,D,34,voting,99
99112220,0.0133389792405405,TORRICELLI,ROBERT,H,NJ,M,D,9,voting,99
99112250,-0.0417150915545455,YATES,SIDNEY,H,IL,M,D,9,voting,99
99112260,-0.0764304058285714,ARCHER,BILL,H,TX,M,R,7,voting,99
99112280,-0.00484723492154545,BATEMAN,HERBERT,H,VA,M,R,1,voting,99
99112290,-0.0464860059435484,BLILEY,TOM,H,VA,M,R,3,voting,99
99112300,-0.0481624027865217,BREAUX,JOHN,H,LA,M,D,7,voting,99
99112310,-0.0133532809605634,BROWN,GEORGE,H,CA,M,D,36,voting,99
99112360,-0.0565876875106061,CLAY,WILLIAM,H,MO,M,D,1,voting,99
99112400,-0.00913817630525,DASCHLE,THOMAS,H,SD,M,D,0,voting,99
99112420,-0.0378624249731818,DIXON,JULIAN,H,CA,M,D,28,voting,99
99112490,0.02311968881625,GEJDENSON,SAM,H,CT,M,D,2,voting,99
99112500,-0.0109024866262136,GOODLING,WILLIAM,H,PA,M,R,19,voting,99
99112531,-0.0508196146162453,HOLLINGS,ERNEST,S,SC,M,D,,voting,99
99112540,0.00284620199160494,KASICH,JOHN,H,OH,M,R,12,voting,99
99112580,0.011332175803125,LIVINGSTON,ROBERT,H,LA,M,R,1,voting,99
99112590,-0.0117512909659091,MARTINEZ,MATTHEW,H,CA,M,D,30,voting,99
